Course name,Description,Topics,Instructors,URL,Department
Introduction to Computers and Engineering Problem Solving,"This course presents the fundamentals of object-oriented software design and development, computational methods and sensing for engineering, and scientific and managerial applications. It cover topics, including design of classes, inheritance, graphical user interfaces, numerical methods, streams, threads, sensors, and data structures. Students use Java® programming language to complete weekly software assignments.","Engineering, Computer Science, Programming Languages, Software Design and Engineering, Systems Engineering, Computational Science and Engineering",Dr. George Kocur Dr. Christopher Cassa Prof. Marta C. Gonzalez,https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/,Civil and Environmental Engineering
Uncertainty in Engineering,"This course gives an introduction to probability and statistics, with emphasis on engineering applications. Course topics include events and their probability, the total probability and Bayes’ theorems, discrete and continuous random variables and vectors, uncertainty propagation and conditional analysis. Second-moment representation of uncertainty, random sampling, estimation of distribution parameters (method of moments, maximum likelihood, Bayesian estimation), and simple and multiple linear regression. Concepts illustrated with examples from various areas of engineering and everyday life.Show less","Engineering, Civil Engineering, Mathematics",Prof. Daniele Veneziano,https://ocw.mit.edu/courses/1-010-uncertainty-in-engineering-fall-2008/,Civil and Environmental Engineering
Project Evaluation,"1.011 Project Evaluation covers methodologies for evaluating civil engineering projects, which typically are large-scale and long-lived and involve many economic, financial, social and environmental factors. The course places an emphasis on dealing with uncertainty. Students learn basic techniques of engineering economics, including net present value analysis, life-cycle costing, benefit-cost analysis, and other approaches to project evaluation. Examples are drawn from both contemporary and historical projects in various fields, including transportation systems, urban development, energy and environmental projects, water resource management, telecommunications systems, and other elements of the public and private projects and programs.Show less","Business, Project Management, Engineering, Social Science",Prof. Joseph Sussman Carl D. Martland,https://ocw.mit.edu/courses/1-011-project-evaluation-spring-2011/,Civil and Environmental Engineering
Introduction to Civil Engineering Design,"1.012 introduces students to the theory, tools, and techniques of engineering design and creative problem-solving, as well as design issues and practices in civil engineering. The course includes several design cases, with an emphasis on built facilities (e.g., buildings, bridges and roads). Project design explicitly concerns technical approaches as well as consideration of the existing built environment, natural environment, economic and social factors, and expected life span. A large design case is introduced, which is used in the subsequent specialty area design subjects (1.031, 1.041, 1.051) and the capstone design subject (1.013).Show less","Engineering, Civil Engineering, Construction Management",Prof. Herbert Einstein,https://ocw.mit.edu/courses/1-012-introduction-to-civil-engineering-design-spring-2002/,Civil and Environmental Engineering
Computing and Data Analysis for Environmental Applications,"This subject is a computer-oriented introduction to probability and data analysis. It is designed to give students the knowledge and practical experience they need to interpret lab and field data. Basic probability concepts are introduced at the outset because they provide a systematic way to describe uncertainty. They form the basis for the analysis of quantitative data in science and engineering. The MATLAB® programming language is used to perform virtual experiments and to analyze real-world data sets, many downloaded from the web. Programming applications include display and assessment of data sets, investigation of hypotheses, and identification of possible casual relationships between variables. This is the first semester that two courses, Computing and Data Analysis for Environmental Applications (1.017) and Uncertainty in Engineering (1.010), are being jointly offered and taught as a single course.Show less","Engineering, Computer Science, Data Mining, Environmental Engineering, Mathematics",Prof. Dennis McLaughlin,https://ocw.mit.edu/courses/1-017-computing-and-data-analysis-for-environmental-applications-fall-2003/,Civil and Environmental Engineering
Ecology I: The Earth System,"We will cover fundamentals of ecology, considering Earth as an integrated dynamic system. Topics include coevolution of the biosphere, geosphere, atmosphere and oceans; photosynthesis and respiration; the hydrologic, carbon and nitrogen cycles. We will examine the flow of energy and materials through ecosystems; regulation of the distribution and abundance of organisms; structure and function of ecosystems, including evolution and natural selection; metabolic diversity; productivity; trophic dynamics; models of population growth, competition, mutualism and predation. This course is designated as Communication-Intensive; instruction and practice in oral and written communication provided. Biology is a recommended prerequisite.Show less","Science, Biology, Ecology, Earth Science",Prof. Edward DeLong Prof. Penny Chisholm,https://ocw.mit.edu/courses/1-018j-ecology-i-the-earth-system-fall-2009/,"Civil and Environmental Engineering
Biology"
Ecology II: Engineering for Sustainability,"This course provides a review of physical, chemical, ecological, and economic principles used to examine interactions between humans and the natural environment. Mass balance concepts are applied to ecology, chemical kinetics, hydrology, and transportation; energy balance concepts are applied to building design, ecology, and climate change; and economic and life cycle concepts are applied to resource evaluation and engineering design. Numerical models are used to integrate concepts and to assess environmental impacts of human activities. Problem sets involve development of MATLAB® models for particular engineering applications. Some experience with computer programming is helpful but not essential.Show less","Engineering, Civil Engineering, Science",Prof. Dennis McLaughlin,https://ocw.mit.edu/courses/1-020-ecology-ii-engineering-for-sustainability-spring-2008/,Civil and Environmental Engineering
Introduction to Network Models,"This course provides an introduction to complex networks and their structure and function, with examples from engineering, applied mathematics, and social sciences. Topics include spectral graph theory, notions of centrality, random graph models, contagion phenomena, cascades and diffusion, and opinion dynamics.","Engineering, Systems Engineering, Computational Modeling and Simulation",Dr. Amir Ajorlou,https://ocw.mit.edu/courses/1-022-introduction-to-network-models-fall-2018/,Civil and Environmental Engineering
Mechanics of Material Systems: An Energy Approach,"1.033 provides an introduction to continuum mechanics and material modeling of engineering materials based on first energy principles: deformation and strain; momentum balance, stress and stress states; elasticity and elasticity bounds; plasticity and yield design. The overarching theme is a unified mechanistic language using thermodynamics, which allows understanding, modeling and design of a large range of engineering materials. This course is offered both to undergraduate (1.033) and graduate (1.57) students.Show less","Energy, Technology, Engineering, Science",Prof. Franz-Josef Ulm,https://ocw.mit.edu/courses/1-033-mechanics-of-material-systems-an-energy-approach-fall-2003/,Civil and Environmental Engineering
Project Management,1.040 covers three important aspects of construction project management:,"Business, Project Management, Engineering",Dr. Nathaniel Osgood,https://ocw.mit.edu/courses/1-040-project-management-spring-2004/,"Civil and Environmental Engineering
Engineering Systems Division"
Project Management,1.040 covers three important aspects of construction project management:,"Business, Project Management, Engineering",Dr. Nathaniel Osgood,https://ocw.mit.edu/courses/1-040-project-management-spring-2009/,"Civil and Environmental Engineering
Engineering Systems Division"
Solid Mechanics,"1.050 is a sophomore-level engineering mechanics course, commonly labelled “Statics and Strength of Materials” or “Solid Mechanics I.” This course introduces students to the fundamental principles and methods of structural mechanics. Topics covered include: static equilibrium, force resultants, support conditions, analysis of determinate planar structures (beams, trusses, frames), stresses and strains in structural elements, states of stress (shear, bending, torsion), statically indeterminate systems, displacements and deformations, introduction to matrix methods, elastic stability, and approximate methods. Design exercises are used to encourage creative student initiative and systems thinking.Show less","Engineering, Aerospace Engineering, Structural Mechanics, Materials Science and Engineering, Mechanical Engineering, Solid Mechanics",Prof. Louis Bucciarelli,https://ocw.mit.edu/courses/1-050-solid-mechanics-fall-2004/,Civil and Environmental Engineering
Engineering Mechanics I,"This subject provides an introduction to the mechanics of materials and structures. You will be introduced to and become familiar with all relevant physical properties and fundamental laws governing the behavior of materials and structures and you will learn how to solve a variety of problems of interest to civil and environmental engineers. While there will be a chance for you to put your mathematical skills obtained in 18.01, 18.02, and eventually 18.03 to use in this subject, the emphasis is on the physical understanding of why a material or structure behaves the way it does in the engineering design of materials and structures.Show less","Engineering, Aerospace Engineering, Structural Mechanics, Civil Engineering, Structural Engineering, Mechanical Engineering, Solid Mechanics",Prof. Franz-Josef Ulm Prof. Markus Buehler,https://ocw.mit.edu/courses/1-050-engineering-mechanics-i-fall-2007/,Civil and Environmental Engineering
Structural Engineering Design,"This course aims at providing students with a solid background on the principles of structural engineering design. Students will be exposed to the theories and concepts of both concrete and steel design and analysis both at the element and system levels. Hands-on design experience and skills will be gained and learned through problem sets and a comprehensive design project. An understanding of real-world open-ended design issues will be developed. Besides regular lectures, weekly recitations and project discussion sessions will be held.Show less","Engineering, Civil Engineering, Structural Engineering, Mechanical Engineering, Mechanical Design",Prof. Oral Buyukozturk,https://ocw.mit.edu/courses/1-051-structural-engineering-design-fall-2003/,Civil and Environmental Engineering
Mechanics and Design of Concrete Structures,"The main objective of 1.054/1.541 is to provide students with a rational basis of the design of reinforced concrete members and structures through advanced understanding of material and structural behavior. This course is offered to undergraduate (1.054) and graduate students (1.541). Topics covered include: Strength and Deformation of Concrete under Various States of Stress; Failure Criteria; Concrete Plasticity; Fracture Mechanics Concepts; Fundamental Behavior of Reinforced Concrete Structural Systems and their Members; Basis for Design and Code Constraints; High-performance Concrete Materials and their use in Innovative Design Solutions; Slabs: Yield Line Theory; Behavior Models and Nonlinear Analysis; and Complex Systems: Bridge Structures, Concrete Shells, and Containments.","Engineering, Civil Engineering, Structural Engineering, Mechanical Engineering, Mechanical Design",Prof. Oral Buyukozturk,https://ocw.mit.edu/courses/1-054-mechanics-and-design-of-concrete-structures-spring-2004/,Civil and Environmental Engineering
